source	entry_kind	name	handler	scope	authority	semantic_action	api_relevance	confidence	rationale
src/client/cgame/campaign/cp_base_callbacks.cpp	command	basemapshot		PRESENTATION_ACTION	PRESENTATION_ONLY		no	HIGH	Creates legacy Baseview screenshot/presentation output.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	mn_base_select		PRESENTATION_ACTION	PRESENTATION_CONTEXT		no	HIGH	Legacy viewed/selected base context; retained presentation should own BaseId locally.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	mn_base_build		PRESENTATION_ACTION	STRATEGIC_CANONICAL	BuildBase	yes	HIGH	Builds a canonical base and changes campaign credits/stats.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	mn_set_base_title		PRESENTATION_ACTION	PRESENTATION_CONTEXT		no	HIGH	Prepares/edit-stages a base title in UI state.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	base_changename		PRESENTATION_ACTION	STRATEGIC_CANONICAL	RenameBase	yes	HIGH	Mutates canonical base name.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	base_init		PRESENTATION_ACTION	READ_ONLY		no	HIGH	Projects base availability/capacity to legacy UI.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	base_assemble		PRESENTATION_ACTION	READ_ONLY		no	HIGH	Builds Baseview data from canonical layout; incidental cache/renderer effects must be split later.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	building_destroy		PRESENTATION_ACTION	STRATEGIC_CANONICAL	DestroyFacility	yes	HIGH	Destroys canonical facility state; confirmation UI is presentation side effect.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	building_amdestroy		SCRIPTED_CANONICAL_EVENT			no	HIGH	Internal probabilistic antimatter-storage onDestroy breach event; not a presentation-originated gameplay request.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	base_selectbuilding		PRESENTATION_ACTION	PRESENTATION_ONLY		no	HIGH	Navigates to building-specific window/pedia/info.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	ui_list_buildings		PRESENTATION_ACTION	READ_ONLY		no	HIGH	Populates building presentation data.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	ui_show_buildinginfo		PRESENTATION_ACTION	READ_ONLY		no	HIGH	Projects building details.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	ui_base_fillmap		PRESENTATION_ACTION	READ_ONLY		no	HIGH	Projects base-grid state.
src/client/cgame/campaign/cp_base_callbacks.cpp	command	ui_build_building		PRESENTATION_ACTION	STRATEGIC_CANONICAL	BuildFacility	yes	HIGH	Calls canonical facility construction; UI/sound are side effects.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	aircraft_start		PRESENTATION_ACTION	STRATEGIC_CANONICAL	StartAircraft	yes	HIGH	Commits an aircraft campaign action; payload must identify aircraft explicitly.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	ui_aircraft_select		PRESENTATION_ACTION	PRESENTATION_CONTEXT		no	HIGH	Aircraft-management selection context.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	geo_aircraft_select		PRESENTATION_ACTION	PRESENTATION_CONTEXT		no	HIGH	Legacy Geoscape selection plus popup; final viewed aircraft is presentation context.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	aircraft_return		PRESENTATION_ACTION	STRATEGIC_CANONICAL	ReturnAircraftToBase	yes	HIGH	Orders canonical aircraft return.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	ui_aircraft_changename		PRESENTATION_ACTION	STRATEGIC_CANONICAL	RenameAircraft	yes	HIGH	Mutates canonical aircraft name.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	ui_aircraft_fill		PRESENTATION_ACTION	READ_ONLY		no	HIGH	Populates aircraft management view.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	ui_aircraft_stop		PRESENTATION_ACTION	STRATEGIC_CANONICAL	StopAircraft	yes	HIGH	Clears canonical aircraft order/status.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	ui_aircraft_to_mission		PRESENTATION_ACTION	STRATEGIC_CANONICAL	SendAircraftToMission	yes	HIGH	Orders aircraft to mission.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	ui_aircraft_changehomebase		PRESENTATION_ACTION	PRESENTATION_ONLY		no	HIGH	Opens change-homebase popup; confirmation is separate authoritative action.
src/client/cgame/campaign/cp_aircraft_callbacks.cpp	command	ui_show_aircraft		PRESENTATION_ACTION	READ_ONLY		no	HIGH	Projects aircraft list/status.
src/client/cgame/campaign/cp_market_callbacks.cpp	command	ui_market_openpedia		PRESENTATION_ACTION	PRESENTATION_ONLY		no	HIGH	Navigates to UFOPedia.
